funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
The Ahmanson Foundation,2024,990-PF-XV,AMERICAN MUSEUM OF CERAMIC ART,,POMONA,CA,150000,,,TOWARD NEW FLOORING AS PART OF THE MUSEUM RENOVATION,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,AWAKENING RECOVERY INC,,LOS ANGELES,CA,150000,,,FOR SOLAR PANEL INSTALLATION AT THE WOMEN'S RECOVERY HOUSE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CALIFORNIA INSTITUTE OF TECHNOLOGY,,PASADENA,CA,150000,,,TOWARD RENOVATION OF A CLASSROOM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CANTWELL SACRED HEART OF MARY HS,,MONTEBELLO,CA,150000,,,FOR THE TECHNOLOGY UPGRADE PROJECT,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CATHOLIC COMMUNITY FDN OF LA,,LOS ANGELES,CA,150000,,,TOWARD PRE-DEVELOPMENT AND SOFT COSTS OF WILLOW BROOK DEMONSTRATION SITE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CLIFFORD BEERS HOUSING INC,,NORTH HOLLYWOOD,CA,150000,,,FOR RENOVATIONS TO THE NEW OFFICE SPACE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CRAFT CONTEMPORARY,,LOS ANGELES,CA,150000,,,"TOWARD TECHNOLOGY, FURNITURE, AND SECURITY UPGRADES",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,DAVID AND MARGARET HOME INC,,LA VERNE,CA,150000,,,TOWARD SAFETY AND SECURITY UPGRADES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,DESCANSO GARDENS FOUNDATION,,LA CANADA FLINTRIDGE,CA,150000,,,TOWARD ACQUISITION OF UTILITY CARTS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,DOOR OF HOPE,,PASADENA,CA,150000,,,TOWARD RENOVATIONS AT THE CASA SHELTER TO INCREASE CAPACITY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,EAST LOS ANGELES WOMENS CENTER,,LOS ANGELES,CA,150000,,,"FOR PHASE 3 PURCHASE OF TECHNOLOGY, FURNISHINGS, AND EQUIPMENT",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,EASTER SEALS SOUTHERN CALIFORNIA,,IRVINE,CA,150000,,,FOR RENOVATIONS AND UPGRADES TO THE SIERRA ROSE HOME,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,EDNOVATE INC,,LOS ANGELES,CA,150000,,,TOWARD FURNITURE FOR STEM CLASSROOMS AT EAST COLLEGE PREP,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,EXCELLENT EDUCATION DEVELOPMENT,,LOS ANGELES,CA,150000,,,TOWARD CONSULTING SERVICES AND REPLACEMENT TECHNOLOGY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,FAMILY HEALTH CARE CTRS - GR LA,,COMMERCE,CA,150000,,,TOWARD THE ADDITION OF TWO DENTAL OPERATORIES AT THE BELL GARDENS FAMILY MEDICAL CENTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,FOODBANK OF SOUTHERN CALIFORNIA,,LONG BEACH,CA,150000,,,TOWARD INDUSTRIAL COLD STORAGE UNITS FOR THE SHAREHOUSE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,FOOTHILL UNITY CENTER,,MONROVIA,CA,150000,,,TOWARD COMPLETION OF THE CAPITAL CAMPAIGN FOR THE MONROVIA LOCATION,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,INNER-CITY ARTS,,LOS ANGELES,CA,150000,,,TOWARD REPLACEMENT OF THE PERFORMING ARTS BUILDING'S HVAC,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,JAPANESE AMERICAN NATIONAL MUSEUM,,LOS ANGELES,CA,150000,,,TOWARD UPGRADES TO THE LIGHTING SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LEGACY LA YOUTH DEVELOPMENT CORP,,LOS ANGELES,CA,150000,,,TOWARD ROOF REPAIRS AND HVAC INSTALLATION,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LONG BEACH RESCUE MISSION,,LONG BEACH,CA,150000,,,TOWARD REPAIR AND RENOVATION OF THE WOMEN'S LYDIA HOUSE SHELTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LOS ANGELES JEWISH HOME FOR AGING,,RESEDA,CA,150000,,,FOR REPLACEMENT OF POST-ACUTE BARIATRIC PATIENT BEDS AND ADDITIONAL VITAL SIGN MACHINES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LOS ANGELES POLICE FOUNDATION,,LOS ANGELES,CA,150000,,,TOWARD FACILITY UPGRADES AT LAPD COMMUNITY POLICE STATIONS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MARYCREST MANOR,,CULVER CITY,CA,150000,,,TOWARD REPLACING BATHTUBS WITH SHOWERS IN RESIDENT ROOMS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MIDNIGHT MISSION,,LOS ANGELES,CA,150000,,,TOWARD ACQUISITION OF A REFRIGERATED BOX TRUCK AND A PASSENGER VAN,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MOUNT WILSON INSTITUTE,,PASADENA,CA,150000,,,TOWARD RENOVATION OF THE DORMITORY BUILDING,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MOUNTAINS COMMUNITY HOSPITAL FDN,,LAKE ARROWHEAD,CA,150000,,,TOWARD NEW DEFIBRILLATORS AND A HANDS-FREE COMMUNICATION SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SAINT MONICA CATHOLIC HIGH SCHOOL,,SANTA MONICA,CA,150000,,,TOWARD PLUMBING UPGRADES AND REPAIRS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SAVE THE MUSIC FOUNDATION,,LOS ANGELES,CA,150000,,,TOWARD INSTRUMENTS AND EQUIPMENT FOR SCHOOLS IN LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SHOES THAT FIT,,CLAREMONT,CA,150000,,,TOWARD AN UPGRADED WAREHOUSE MANAGEMENT SYSTEM AND CUSTOMIZED ORDER MANAGEMENT SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SOC OF ST VINCENT DE PAUL COUNC,,LOS ANGELES,CA,150000,,,"TOWARD EARTHQUAKE RETROFITTING THE CARDINAL MANNING CENTER, PHASE 2",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ST ANNES FAMILY SERVICES,,LOS ANGELES,CA,150000,,,TOWARD ROOF REPLACEMENT,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ST FRANCIS HS OF LA CANADA FLIN,,LA CAADA,CA,150000,,,TOWARD REPLACEMENT OF THE GYM FLOOR,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE ACHIEVABLE FOUNDATION,,CULVER CITY,CA,150000,,,TOWARD RENOVATIONS TO THE NEW FACILITY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE BEACON HOUSE ASSN OF SAN PEDRO,,SAN PEDRO,CA,150000,,,TOWARD EQUIPPING THE REMODELED BARTLETT CENTER KITCHEN,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE BRIDGESPAN GROUP INC,,BOSTON,MA,150000,,,TOWARD LEADING FOR IMPACT AND BRIDGESPAN LEADERSHIP ACCELERATOR PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE CHRYSALIS CENTER,,LOS ANGELES,CA,150000,,,FOR PROJECT WORKSTREAM ENHANCEMENTS AT THE DOWNTOWN CENTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE HARMONY PROJECT,,LOS ANGELES,CA,150000,,,TOWARD CREATING ADA ACCESS TO THE NEW HEADQUARTERS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,WEINGART CENTER ASSOCIATION,,LOS ANGELES,CA,150000,,,TOWARD INSTALLATION OF A CCTV SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,WESTERN JUSTICE CENTER FOUNDATION,,PASADENA,CA,150000,,,TOWARD PLUMBING AND HVAC UPGRADES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,WESTSIDE JEWISH COMMUNITY CENTER,,LOS ANGELES,CA,150000,,,TOWARD ROOF DUCT REPAIR AND REINSTALLATION OF THE AUDITORIUM CEILING,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,WILDWOOD SCHOOL INC,,LOS ANGELES,CA,150000,,,TOWARD RENOVATION OF THE ELEMENTARY SCHOOL LIBRARY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,WILLOWS COMMUNITY SCHOOL,,CULVER CITY,CA,150000,,,TOWARD IMPROVEMENTS TO THE THEATER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SOUTHERN CALIFORNIA PUBLIC RADIO,,PASADENA,CA,148000,,,FOR UPGRADE OF THE STUDIO INTERCOM SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,BRIDGE TO HOME SCV,,SANTA CLARITA,CA,146400,,,FOR FINAL CAPITAL NEEDS FOR THE NEW SHELTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LA COMPOST,,LOS ANGELES,CA,146000,,,FOR ACQUISITION OF A MOBILE EV CLASSROOM AND VEHICLE WRAPPING,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ALL PEOPLES COMMUNITY CENTER,,LOS ANGELES,CA,140000,,,FOR TECHNOLOGY INFRASTRUCTURE UPGRADES AND EQUIPMENT,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ANGELS GATE CULTURAL CENTER INC,,SAN PEDRO,CA,140000,,,FOR INSTALLATION OF 16 REPLACEMENT DOORS ON SEVEN BUILDINGS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LINCOLN TRG CTR & REHAB WORKSHOP,,SOUTH EL MONTE,CA,140000,,,FOR TWO 10-PASSENGER VANS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,BOYS & GIRLS CLUB OF WEST SGV,,MONTEREY PARK,CA,138700,,,FOR A 25-PASSENGER BUS AND LOGO WRAP,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,FULFILLMENT FUND,,LOS ANGELES,CA,138500,,,TOWARD RENOVATIONS AT THE NEW OFFICE AND RELOCATION EXPENSES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,PARTNERSHIP FOR LOS ANGELES SCHOOLS,,LOS ANGELES,CA,137500,,,TOWARD FURNITURE AND TECHNOLOGY FOR THE NEW HEADQUARTERS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ALCOHOLISM CENTER FOR WOMEN INC,,LOS ANGELES,CA,137000,,,FOR CAPITAL NEEDS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CITIZENS OF THE WORLD CHRTR SCHS,,LOS ANGELES,CA,136000,,,"TOWARD FURNITURE, FIXTURES, AND EQUIPMENT FOR THE MAR VISTA MIDDLE SCHOOL CAMPUS",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,FOOD FORWARD INC,,NORTH HOLLYWOOD,CA,134400,,,FOR ACQUISITION OF AN ELECTRIC REFRIGERATED TRAILER AND ELECTRIC PALLET RIDER JACK,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,YMCA OF METROPOLITAN LOS ANGELES,,LOS ANGELES,CA,131700,,,FOR REPLACEMENT OF THE SECURITY CAMERA SYSTEM AND EXTERIOR PAINT FOR THE NORTH VALLEY FAMILY YMCA,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,PENNY LANE CENTERS,,NORTH HOLLYWOOD,CA,130000,,,TOWARD MOVE-IN PACKAGES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MANNA CONEJO VALLEY FOOD DIST CTR,,THOUSAND OAKS,CA,129000,,,FOR INSTALLATION OF SOLAR PANELS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,COMMUNITY PARTNERS,,LOS ANGELES,CA,127000,,,FOR NEW EQUIPMENT AND TECHNOLOGY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,COVENANT HOUSE CALIFORNIA,,LOS ANGELES,CA,125000,,,FOR ROOF REPAIRS AT THE HOLLYWOOD CAMPUS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MUSE-IQUE,,PASADENA,CA,125000,,,TOWARD CREATION OF ORCHESTRATIONS AND ARRANGEMENTS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE GOODEN CENTER,,PASADENA,CA,125000,,,TOWARD RESTORATION OF THE EXTERIOR OF THE BISHOP GOODEN HOME,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THRIVE SCHOLARS,,LOS ANGELES,CA,125000,,,TOWARD EXPANSION OF THE SCHOLAR PORTAL,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,NATIONAL DISASTER SEARCH DOG FDN,,SANTA PAULA,CA,120000,,,FOR CREATION OF A SECOND FENCED TRAINING YARD,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
