funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Bais Medrash Toras Chesed,22-6830873,Lakewood,NJ,300000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Mesivta Netzach Hatorah,83-4251042,Woodmere,NY,300000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Yeshiva and Mesivta Toras Chaim of Greater New York,11-2125702,Hewlett,NY,300000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,California Community Fnd,95-3510055,LA,CA,299150,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Jewish Free Loan Association,95-1691014,LA,CA,296314,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,YULA High School,42-1746735,LA,CA,293869,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Valley Village Community Kollel Inc,82-2805651,Valley Village,CA,292800,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Community Spa Mikveh,86-1291952,LA,CA,290500,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Wilshire Boulevard Temple,95-1691339,LA,CA,286256,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,M F Place Inc dba My Friend's Place,95-4834034,Hollywood,CA,285500,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Union of Orthodox Jewish Congregations of America,13-5623717,New York,NY,282870,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,American National Red Cross,53-0196605,LA,CA,279950,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Hillel at USC Hillel Fdn for Jewish Campus Life,95-4867366,LA,CA,279000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Chasdei David Inc,20-4081578,Brooklyn,NY,277500,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Shalhevet High School,95-4330860,LA,CA,271704,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Project Biome,83-3364077,Charlottesville,VA,270000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Beth Tefilla of Monsey,51-0168555,Monsey,NY,260000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
Jewish Community Fdn Of The Jewish Federation Council Of Greater La,2024,990-SchI,Gemach Chessed Inc,83-3315577,Pikesville,MD,260000,,,general support,https://projects.propublica.org/nonprofits/full_text/202533199349302138/IRS990ScheduleI
