funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BAIS CHAYA MUSHKA SCHOOL OF LOS ANGELES,95-4439460,LOS ANGELES,CA,44526,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CONGREGATION OR AMI,95-4614448,CALABASAS,CA,42530,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,LA JEWISH FILM FESTIVAL,87-3258167,WEST HOLLYWOOD,CA,40000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,MOVING TRADITIONS,34-2015014,WARMINSTER,PA,40000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,KADIMA DAY SCHOOL,95-3190850,WEST HILLS,CA,37985,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ISRAFEST FOUNDATION INC,13-3137819,BEVERLY HILLS,CA,36000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,YESHIVA AHARON YAAKOV,95-3405695,LOS ANGELES,CA,35666,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHABAD JEWISH STUDENT CENTER AT USC,61-1442258,LOS ANGELES,CA,35000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH PUBLIC AFFAIRS COMMITTEE OF CA,68-0028695,LOS ANGELES,CA,35000,0,,DEVELOP STATEWIDE INITIATIVES TO ENHANCE JEWISH EDUCATION AT THE HIGH SCHOOL LEVEL,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,KEHILLAT ISRAEL RECONSTRUCTIONIST CONGREGATION OF PACIFIC PA,95-2056645,PACIFIC PALISADES,CA,31000,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE EMANUEL OF BEVERLY HILLS,95-1696713,BEVERLY HILLS,CA,31000,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE ISAIAH,95-1691319,LOS ANGELES,CA,28000,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,PICO MESIVTA,27-1887722,LOS ANGELES,CA,25508,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,MESIVTA OF GREATER LOS ANGELES,95-4621495,CALABASAS,CA,25504,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ADAT SHALOM,95-1585081,LOS ANGELES,CA,25000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH LOS ANGELES SPECIAL NEEDS TRUST,81-0820016,LOS ANGELES,CA,25000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE SINAI OF GLENDALE,95-1756438,GLENDALE,CA,25000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,YESHIVA OHR ELCHONON CHABAD,95-4384473,LOS ANGELES,CA,24913,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH COMMUNITY CENTER OF THE SOUTH BAY,71-0866033,REDONDO BEACH,CA,24000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,LASHON ACADEMY,45-2325976,LOS ANGELES,CA,24000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHABAD AT CSUN,20-8117991,NORTHRIDGE,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CONGREGATION TIKVAR JACOB BETH TORAH,95-4316548,MANHATTAN BEACH,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,FAITH AND COMMUNITY EMPOWERMENT,03-0417254,LOS ANGELES,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HAMAKOM,95-2153156,WEST HILLS,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HEART OF LOS ANGELES (HOLA),95-4397418,LOS ANGELES,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,SOLA I CAN FOUNDATION,82-4698211,LOS ANGELES,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,SPECIAL SERVICE FOR GROUPS INC,95-1716914,LOS ANGELES,CA,20000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,AT THE WELL PROJECT INC,83-2697895,WASHINGTON,DC,18000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE JUDEA,95-6052095,TARZANA,CA,18000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,UNION FOR REFORM JUDAISM,13-1663143,NEW YORK,NY,17250,0,,CAMPERSHIPS,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHABAD OF THE VALLEY,95-3981217,TARZANA,CA,16000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CAMP MOUNTAIN CHAI,91-2150831,SAN DIEGO,CA,15750,0,,CAMPERSHIPS,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,30 YEARS AFTER,26-1748436,LOS ANGELES,CA,15000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHABAD AT SMC,95-4867184,SANTA MONICA,CA,15000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH SOCIAL RESPONSE,46-4634663,LAS VEGAS,NV,15000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,MAZON A JEWISH RESPONSE TO HUNGER,22-2624532,LOS ANGELES,CA,15000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,WISE READERS TO LEADERS,46-4535180,LOS ANGELES,CA,15000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH WOMEN'S THEATRE,47-4157778,SANTA MONICA,CA,14200,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE ALIYAH,95-2236425,WOODLAND HILLS,CA,14000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE BETH HILLEL,95-1765175,VALLEY VILLAGE,CA,14000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE ETZ CHAIM,95-6134243,THOUSAND OAKS,CA,14000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,OHEL CHANA HIGH SCHOOL,46-2869189,LOS ANGELES,CA,13637,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE MISHKON TEPHILO,95-1544590,VENICE,CA,13270,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CLAREMONT GRADUATE UNIVERSITY,95-1664100,CLAREMONT,CA,13000,0,,SCHOLARSHIPS/STIPENDS,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ADAT ARI EL,23-7366318,VALLEY VILLAGE,CA,10000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHABAD AT PIERCE INC,47-4960401,WINNETKA,CA,10000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,COMBAT HATE FOUNDATION INC,84-2208774,MOUNDRIDGE,KS,10000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,NETAN ELI HEBREW ACADEMY,95-4434894,LOS ANGELES,CA,10000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE ADAT ELOHIM,95-2596965,THOUSAND OAKS,CA,10000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
