funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Petco Love,2025,990-SchI,THE CAT HOUSE ON THE KINGS,27-0015288,PARLIER,CA,70800,23908,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,LYNCHBURG HUMANE SOCIETY,54-0570901,LYNCHBURG,VA,70400,11876,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,PIONEER HUMANE SOCIETY (AKA PENDLETON ANIMAL WELFARE SHELTER),93-0845104,PENDLETON,OR,70000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SOUTH UTAH VALLEY ANIMAL SHELTER,72-1604129,SPANISH FORK,UT,68000,165,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,PINAL COUNTY ANIMAL CARE AND CONTROL,86-6000556,CASA GRANDE,AZ,66548,8258,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY OF TAMPA BAY,59-0799907,TAMPA,FL,65300,9177,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HOMEWARD BOUND PET ADOPTION CENTER,20-0549531,BLACKWOOD,NJ,61500,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,OPERATION KINDNESS,75-1553350,CARROLLTON,TX,61200,5387,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SOUTHERN PINES ANIMAL SHELTER,64-0514796,HATTIESBURG,MS,61000,33566,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,COMPANION ANIMAL RESCUE OF ASCENSION DBA CARA'S HOUSE,90-0877497,SORRENTO,LA,60800,2268,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SPAY4LA,45-2996980,LOS ANGELES,CA,60000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SPCA OF BRAZORIA COUNTY,23-7404451,LAKE JACKSON,TX,58700,5774,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CHARLOTTE MECKLENBURG ANIMAL CARE AND CONTROL,52-1333483,CHARLOTTE,NC,58625,2852,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,WASHINGTON COUNTY SPCA,73-6107239,BARTLESVILLE,OK,58000,172,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,NOAHS ARK ANIMAL HAVEN AND RESCUE,85-2004854,LAKEHEAD,CA,57585,11543,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,FORTUNATE POOCHES & LAB RESCUE,20-0351812,PALATINE,IL,56600,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY TACOMA & PIERCE COUNTY,91-0577128,TACOMA,WA,56381,4272,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ANIMAL SERVICE CENTER OF THE MESILLA VALLEY,26-4297265,LAS CRUCES,NM,55175,6867,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,TEXAS COALITION FOR ANIMAL PROTECTION (TCAP),75-2915935,FT WORTH,TX,55175,2472,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE NETWORK,27-0487147,RENO,NV,54050,5882,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY OF HOBART INC,35-0989082,HOBART,IN,53687,28,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,LAWRENCE HUMANE SOCIETY,48-0641821,LAWRENCE,KS,53310,5478,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CLAY COUNTY ANIMAL CARE & CONTROL,59-6000553,GREEN COVE SPRINGS,FL,53000,1723,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CITY OF FLORENCE,63-6001261,FLORENCE,AL,53000,14,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ALL 4 PAWS,45-3676896,PAWLEYS ISLAND,SC,52500,1379,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SPAY NEUTER NETWORK,20-0276988,KAUFMAN,TX,52053,74344,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY OF SOUTHERN WISCONSIN,39-0973879,JANESVILLE,WI,51979,5933,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,FIX WEST TEXAS,84-4108520,MIDLAND,TX,51900,42230,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CAMERON COUNTY PUBLIC HEALTH,74-6000420,SAN BENITO,TX,51530,7112,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,GREENVILLE COUNTY ANIMAL CARE,57-6000356,GREENVILLE,SC,51400,5519,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BROTHER WOLF ANIMAL RESCUE,20-8787719,ASHEVILLE,NC,50900,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BARREN RIVER ANIMAL WELFARE ASSOCIATION,61-1212479,GLASGOW,KY,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,COLLETON COUNTY ANIMAL SERVICES,57-6000339,WALTERBORO,SC,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,FORT WAYNE ANIMAL CARE & CONTROL,35-6001029,FORT WAYNE,IN,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,IDAHO HUMANE SOCIETY,82-0212536,BOISE,ID,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,LOS ANGELES COUNTY ANIMAL CARE FOUNDATION,95-3909782,LONG BEACH,CA,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,MISSION K9 RESCUE,46-4302698,MAGNOLIA,TX,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,NATIONAL DISASTER SEARCH DOG FOUNDATION (SDF),77-0412509,SANTA PAULA,CA,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,PASCO COUNTY BOARD OF COUNTY COMMISSIONERS (PASCO COUNTY ANIMAL SERVICES),59-6000793,DADE CITY,FL,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SAVING GRACE PET ADOPTION CENTER,93-1318052,ROSEBURG,OR,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SECTOR K9 FOUNDATION,85-0762973,WAXAHACHIE,TX,50000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY OF SOUTH MISSISSIPPI,64-6034439,GULFPORT,MS,48186,3349,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
